일련번호,등록상태,발명의 명칭,IPC 번호,등록번호,등록일자,출원번호,출원일자,공개번호,공개일자,공고번호,공고일자,초록,큰 이미지 경로,이미지 경로,출원인
115,공개,코로나 바이러스 검출을 위한 프라이머 세트 및 이의 용도,C12Q 1/70|C12Q 1/6883,,,1020200088380,20200716,1020220009770,20220125,,,"본 발명은 코로나 바이러스 검출을 위한 프라이머 세트 및 이의 용도에 관한 것이다. 구체적으로, 본 발명에 따른 특정 염기서열로 구성된 등온증폭용 프라이머 세트는 코로나 바이러스의 유전자를 특이적으로 증폭시킴으로써, 경제적이고 손쉽게 코로나 바이러스를 검출하거나 코로나 바이러스에 의해 발생하는 폐렴의 진단에 유용하게 사용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938a2134dd335862c7ddc00588e6cfa51f9f609ec3a390a32a7345e1c13fadce7caab4c4ff2d5d07eae92d16761c7f0f3ef03b77366f018ed7,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9b14948fb1374d489a648789cfc3d63149cdaaa1a804b8b1aa810a246c618041d013cc44b9cdcca37f9d1ffff2e81c1ed93442bedcdd1a3e,충북대학교 산학협력단
116,공개,코로나바이러스 감염 치료를 위한 방법 및 조성물,A61K 31/7048|A61K 36/24|A61K 9/00,,,1020207026847,20200714,1020210124010,20211014,,,코로나비리대 과의 바이러스에 의해 유발되는 바이러스 감염과 같은 바이러스 감염을 치료하는 방법이 제공된다. 적어도 올레안드린을 갖는 조성물이 바이러스 감염을 치료하는데 사용된다.,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f87c909613c62bc9c4c70b3f80bc53e0ad386c82d5244680a1c6ded084043f354ebaaf06b2b6c7894c6faa2848d7eaccbf3270863ec84ce7,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf6c3eb4061bb6a4c19628a1c8a6c6717fb37d802fb99697c4fa4b27b756ae896ee57dee9dcd131db0dab8810941212e9cc34454b64f5c1cff,피닉스 바이오테크놀러지 인코포레이티드.
117,공개,STAT3 활성화 저해제를 유효성분으로 포함하는 SARS 코로나바이러스 생산 저해용 조성물,A61K 31/196|A61K 31/122|A61P 31/14,,,1020200085896,20200713,1020220008412,20220121,,,"본 발명은 STAT3 활성화 저해제, 및/또는 STAT3 이량체화 억제제를 유효성분으로 포함하는 SARS 코로나바이러스 생산 저해용 조성물에 관한 것으로, 본 발명의 조성물은 SARS 코로나바이러스-2 생산 정도를 감소시키는 효과가 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e862f508696bb8901c670e9593296e87a5792423639242a8b4bd59c1258c76c3e519b110707a0be747dcd68f26ab6ba5585177a4b769f05e,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf92735da4e9e3260aae1878d57ca8371c30a5211632ead6f6bc148f1ced3c081b0e9a543f44a225e1d222c19c68d41d7190b4c3bd5e75d42d,한림대학교 산학협력단
118,거절,코로나 19의 방역이 가능한 소독 장치,A61L 2/22|A61L 2/00|A61L 2/26|B05B 7/26|B05B 1/26,,,1020200084517,20200709,1020220006743,20220118,,,"소독 장치가 개시된다. 소독 장치는 액상의 소독액을 저장하는 소독액 저장 용기; 상기 소독액 저장 용기에 저장된 소독액을 미스트 상태로 변화시키는 미스트 생성기; 하우징; 및 상기 하우징의 일 면에 제공되며, 개별적으로 상기 미스트 상태의 소독액을 분사하는 복수 개의 노즐을 포함하되, 상기 노즐들은 상기 하우징의 전방 영역으로 상기 미스트 상태의 소독액을 분사하되, 서로 상이한 높이로 상기 미스트 상태의 소독액을 분사할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9367e0c3531497bfa42563ac2c1fac1f85f2da000235f6124a5a861162ed71401a85a4b456c29fac68e50001999035e47e3e49435eed902539,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf18a599d48acc4c4f5f99c48c6e5eb9d75c17d4b8e5a3e96420715380a305a6ea9f6e0d3c2ab820c918aa24801061b220bf93d4765172a04e,주지영
119,등록,코로나 방전을 이용한 포장용 필름의 제조 장치,B32B 38/00|C08J 7/12|B05D 3/14,1021464860000,20200813,1020200084878,20200709,,,,20200820,"본 발명은 코로나 방전을 이용한 포장용 필름의 제조 장치에 관한 것으로, 보다 상세하게는 제품을 포장하기 위해 사용하는 포장용 필름을 제조하되 포장용 필름의 양표면을 코로나 방전 처리 한 후 일표면에 인쇄층을 형성하고, 타표면에 점착층을 형성한 이후 보호용 필름을 점착층에 합지한 것으로, 포장용 필름을 롤 형태로 권취한 이후 제품 포장을 위한 자동화 라인에서 권취된 롤이 풀리는 과정에서 보호용 필름이 임의로 분리되는 것을 방지할 수 있는 코로나 방전을 이용한 포장용 필름의 제조 장치에 관한 것으로, 이를 위해 본 발명은, 본 발명은, 포장용 필름을 제조하기 위한 원료가 투입되는 호퍼를 포함한 원료공급부; 상기 원료공급부를 통해 공급된 원료를 가공하여 포장용 필름을 성형하는 필름성형부; 상기 필름성형부를 통해 성형된 포장용 필름의 양측 표면을 코로나 처리하는 코로나 방전처리부; 코로나 처리된 포장용 필름의 일측 표면에 인쇄수단을 통해 인쇄층을 형성하는 인쇄부; 코로나 처리된 포장용 필름의 타측 표면에 점착층 성형수단을 통해 점착층을 형성하는 점착층 형성부; 상기 점착층 형성부를 통해 형성된 점착층에 안티브로킹층을 형성하는 안티브로킹형성부; 상기 안티브로킹층에 보호용 필름을 합지하는 보호용 필름 합지부;를 포함한 것을 특징으로 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0002f189c0e5744a557d91cb327f13fcdfef8ca63f926b6f78e900335bfbd97a259c83df8f47c1bd162875f14171126cf9f1e120fef7c5061c,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf39598702a83ebc12bb6d938638918a432f3a042e60a531d5717ddf9b0dff069605dd54929d997bcc622f6b622b9aae333ff87e57fd7f6d82,이원형
120,공개,신규한 가이드 RNA 및 이를 이용한 코로나바이러스감염증 2019를 진단하는 방법,C12Q 1/70,,,1020200084350,20200708,1020210119256,20211005,,,"COVID-19 진단을 위한 신규한 가이드 RNA, 이를 포함하는 COVID-19 진단용 조성물, 키트, 및 이를 이용한 COVID-19 진단 방법을 제공한다. 이에 따르면, COVID-19를 높은 정확도 및 특이도로 빠르고 간편하게 진단하는데 이용할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93081604690fc1335dd4f4c8b48155ff95ae920c535615ca73bc8fdad96651f52e5c994b7f67f0f79e60b91b24c87d3ddd9f99da256b0672c9,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cffb8e4bf4b6a4bfa3c2ba330bb988a4a3c58fa90551eef9e7668832e242623f003e0139e8c73ac3bfdfb3bd6ad8eec2f026e59642e8b5fc25,연세대학교 산학협력단
121,등록,PNA 프로브를 이용한 코로나바이러스감염증-19을 일으키는 SARS-CoV-2 및 살베코바이러스의 동시 진단방법 및 진단용 키트,C12Q 1/70,1023679800000,20220222,1020200082335,20200703,1020220004468,20220111,,,"본 발명은 역전사 중합효소 연쇄반응(Reverse transcription Real-time polymerase chain reaction)을 이용한 베타코로나바이러스의 하속(subgenus)중 하나인 살베코바이러스(Sarbecovirus) 및 코로나바이러스감염증-19을 일으키는 신종 코로나바이러스(Severe acute respiratory syndrome coronavirus 2, SARS-CoV-2)를 검출하는 방법에 관한 것으로, 더욱 자세하게 살베코바이러스 및 신종 코로나바이러스의 동시 검출용 PNA 프로브와 프라이머 및 이를 이용한 감염여부 판별방법에 관한 것으로, 본 발명에 따르면, 종래 코로나바이러스감염증-19 진단에 사용되는 DNA 프로브를 이용한 PCR과 RT-PCR 방법에 비해 민감도와 특이도가 높으며 신종 코로나바이러스의 ORF1ab 유전자, S 유전자, N 유전자 및 살베코바이러스의 E 유전자를 동시 증폭 및 판별할 수 있어, 고민감도와 높은 정확성을 가지고 신종 코로나바이러스 및 살베코바이러스의 감염 여부분석 가능하다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939f0fed7b14e7e104a63417ceb2cd7b25e87db325c5c2c029a80f300fdbde376220cd2dac078fa024866cd166bcbf229fbfbd4f0da4764346,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf722767524a80739460e73d62266fd3fa1551b2b4c7c2439a0ae7a32a0f244d6b8da1f13dbad7cc34b54a0ae4c1d6899bd3096ed6d56ce31c,주식회사 시선바이오머티리얼스
122,공개,코로나19 바이러스에 특이적으로 결합하는 DNA 압타머 및 이의 용도,C12N 15/115|C07K 14/005|C12Q 1/70,,,1020200082319,20200703,1020220004462,20220111,,,"본 발명은 코로나19 바이러스에 특이적으로 결합하는 DNA 압타머 및 이의 용도에 관한 것으로서, 본 발명의 변형된 SELEX(Systematic evolution of ligands by exponential enrichment) 방법에 의해 선별된 압타머는 코로나19 바이러스 핵 단백질에 항체가 결합되는 부분과 다른 부위에 결합되기 때문에, 샌드위치 형태의 바이오센서와 같은 다양한 분야에 적용 가능하다. 나아가, 이와 같은 압타머는 기존의 항체를 포함하는 제제와 비교하여 안정성 및 민감도가 매우 우수할 뿐만 아니라, 화학적 합성 방법으로 단시간에 적은 비용으로 대량 생산이 가능하고, 결합력을 높이기 위해 다양한 변형이 용이하다는 장점이 존재한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939f0fed7b14e7e104a63417ceb2cd7b25e87db325c5c2c029a80f300fdbde37620993c4909d388f9415ba61699d2a28ec236a7376d658bb71,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf722767524a80739460e73d62266fd3fa1551b2b4c7c2439a0ae7a32a0f244d6be6c1e32eb9cd1b371f9926c725dd0e25690b2c5afab4cfed,(주)에스비바이오사이언스
123,거절,불필요한 검사를 방지할 수 있는 코로나바이러스감염증-19 검사방법,C12Q 1/70|A61B 10/00|B01L 3/00,,,1020200081799,20200702,1020220003929,20220111,,,"본 발명은 코로나 검사방법에 관한 것으로, 보다 상세하게는, 코로나바이러스감염증-19 검사방법에 있어서, 코로나바이러스감염증-19 검사방법에 있어서,  코로나바이러스감염증-19 확진자와 동일시간 및 동선이 겹치는 불특정다수의 인원을 파악한 후 격리시키는 제1단계(S100);  상기 파악된 불특정다수의 인원 각각으로부터 구비된 각각의 채취도구(10)로 구강과 비강의 비말을 각각 채취한 후, 그 비말을 하나의 이송기(20)에 각각 묻히는 제2단계(S200);  상기 이송기(20)를 뒤집어 상기 비말들과 이송기(20)의 내부에 포함된 배지(23)와 혼합하는 제3단계(S300);  상기 혼합된 이송기(20)를 핵산추출기(30), 증폭기(40), 진단키트(50)를 통해 코로나바이러스감염증-19(COVID-19)에 대한 양성 또는 음성으로 검사결과를 판단하는 제4단계(S400);  상기 제4단계(S400) 후, 코로나 검사 결과가 음성으로 나올 시, 검사한 인원 모두를 격리해지조취 하고, 양성결과가 나올 시, 격리 조취 후 상기 제2단계(S200)에서 채취한 비말 당사자의 인원과 대응되게 이송기(20)를 각각 구비하여 제2단계(S200)부터 제4단계(S400)까지 개별적으로 검사를 진행하는 제5단계(S500); 로 이루어져, 음성결과가 나올 시, 불필요한 검사를 수행하지 않아도 되어 경제적 효율성과 의료 인력...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939f0fed7b14e7e104a63417ceb2cd7b25f716d986396b124d06413985f2b96fc7d41650e43518bda6ce6111b5e7e47f14a39e968223fb2048,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf722767524a80739460e73d62266fd3fa98f15180c494862b6bce1bb377827229b4412bad0dc706f7f9b9c3e1f3bd65f845ee0334c7c2e7d6,한국코미아 주식회사
124,공개,코로나19 체크를 위한 손목 밴드,A61B 5/00|A44C 5/00,,,1020200080840,20200701,1020220003252,20220110,,,코로나19 체크를 위한 손목 밴드에 관한 것이다.,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a69898d34b0fd3dcb36b282835b3b37e7438a07e21640f81b784387a409e5f74fa32057e5a2a46b48a0ac1b220ca63fab8e4dec6eb96fb0c,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf8d6e137110c5768dd3b45d863d02407ce9c1fa92520247cf582f5f0572e29e22ddb7e0877779254480d676fa942948f63b91361c17f20c58,특허법인 비엘티
125,등록,코로나바이러스 특이적 이중가닥 올리고뉴클레오티드 및 이를 포함하는 코로나바이러스 감염증-19 예방 및 치료용 조성물,C12N 15/113|A61K 31/7088|A61P 31/12,1022728000000,20210629,1020200079766,20200630,,,,20210705,"본 발명은 코로나바이러스 특이적 이중가닥 올리고뉴클레오티드 및 이의 용도에 관한 것으로, 코로나바이러스, 특히 SARS-CoV, SARS-CoV-2 및 이의 돌연변이체에 특이적으로 RNA 간섭을 유도하여 바이러스의 감염 및 증식을 효과적으로 억제할 수 있으면서도, 보존서열을 중심으로 표적하므로 바이러스의 변이에 영향을 거의 받지 않는다. 따라서, 본 발명의 이중 가닥 올리고뉴클레오티드는 코로나바이러스의 증식억제, 감염 예방 및 감염증의 치료에 유용하게 사용될 수 있으며, 특히, 대유행 중인 COVID-19의 예방 및 치료제로 유용하게 사용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939c0c05f73be9fcc760c673956fb2eef927be77e2d3cd2e4b2f867e8f624f6c0ffe1414f4a6245f171ade137dc6c364805cb9eab61cbcfb00,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfb698d827ecf078a86c3cb13b91b85941f37fe496f074d65191ecd08c10ad70983032528b92770f9c7c4f9087f66ba33c06b78493d2e44d4f,국방과학연구소|에이비온 주식회사
126,공개,인간코로나바이러스에 대한 항바이러스용 조성물,A61K 31/5377|A61K 31/496|A61K 31/4025|A61K 31/4155|A61K 31/454|A61P 31/14|A23L 33/10,,,1020200077246,20200624,1020210158642,20211231,,,"본 발명은 인간코로나바이러스에 대한 항바이러스용 조성물에 관한 것으로, 보다 상세하게는 본 발명 하기 화학식 1의 화합물, 이의 입체 이성질체 또는 약학적으로 허용 가능한 염은 인간코로나바이러스, 특히 사스코로나바이러스-2에 대한 우수한 항바이러스 효과를 나타낸다.  [화학식 1]  상기 화학식 1에서,  R  0  는  ,  ,  및 -OH로 이루어진 군에서 선택되며;  A는 N에 융합된 4, 5, 6, 또는 7 카보사이클일 또는 헤테로사이클일 고리이며, 이는 하나 이상의 C1 내지 C3의 알킬기 또는 할로기로 치환되거나 비치환되고;  R  1  및 R  2  는 각각 독립적으로 -H, -OH, C1 내지 C3 알킬 -CH  2  CH  2  SO  2  NH  2  , -C(CH  3  )  3  및  로 이루어진 군에서 선택됨.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed018a8f764ca8c0e81578b25ebd0490292cf16c62207614b6c8ca71e20538f37154a33cbbcce11d8ebd3dc9b1030b9e483dae52184d3291,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf37393845c1878d7df2c80c1ab6de0ad5836cf796569a31d29ad8e1785bef18bc477a62b623b397fa3d9a25a2fe6b1a241396430f0e7440d2,이연제약주식회사|주식회사 지앤피바이오사이언스
127,공개,고양이 코로나바이러스에 대한 항바이러스용 조성물,A61K 31/5377|A61K 31/496|A61K 31/4025|A61K 31/4155|A61K 31/454|A61P 31/14|A23K 20/116|A23K 50/40,,,1020200077270,20200624,1020210158647,20211231,,,"본 발명은 고양이 코로나바이러스에 대한 항바이러스용 조성물에 관한 것으로, 보다 상세하게는 본 발명 하기 화학식 1의 화합물, 이의 입체 이성질체 또는 약학적으로 허용 가능한 염은 고양이 코로나바이러스에 대한 우수한 항바이러스 효과를 나타낸다:  [화학식 1]  상기 화학식 1에서,  R  0  는  ,  ,  및 -OH로 이루어진 군에서 선택되며;  A는 N에 융합된 4, 5, 6, 또는 7 카보사이클일 또는 헤테로사이클일 고리이며, 이는 하나 이상의 C1 내지 C3의 알킬기 또는 할로기로 치환되거나 비치환되고;  R  1  및 R  2  는 각각 독립적으로 -H, -OH, C1 내지 C3 알킬 -CH  2  CH  2  SO  2  NH  2  , -C(CH  3  )  3  및  로 이루어진 군에서 선택됨.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed018a8f764ca8c0e81578b25ebd0490292cf16c62207614b6c8ca71e20538f3ad8f757d47ba1d37d6b30510e87d90488c28957469ead787,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf37393845c1878d7df2c80c1ab6de0ad5836cf796569a31d29ad8e1785bef18bc5e3b3c914fd4ea4a01e7d00aa0ccf442cc50dc9cc510c4b8,주식회사 지앤피바이오사이언스|주식회사 노터스
128,공개,융합 단백질 및 이를 포함하는 코로나바이러스 백신 조성물,C07K 14/005|A61K 38/00|A61K 39/12|A61P 31/14,,,1020200074896,20200619,1020210157065,20211228,,,코로나바이러스의 수용체 결합 단백질 (Receptor-binding domain; RBD)의 전부 또는 일부를 포함하는 융합 단백질 및 이를 포함하는 코로나바이러스 백신 조성물에 관한 것이다.,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93193cab6acd82c43ff9af9c26a0cdf5247c7ec46f636fb6344ee59b2f779a80a213b0a83ec7fac709a9f2a30ed3382f120aaea2611491046a,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7508a16c33a7f326bc96b7dc523a0d9c258c4ac129a4a66e49b33ecf823c8e3feb10baaa35148f7e48f162fbab8af7e2bdeba2c3e84fa4ee,주식회사 엘지화학
129,공개,코로나바이러스 감염 동시 진단 마커 및 이의 용도,C12Q 1/70,,,1020200073579,20200617,1020210155979,20211224,,,"본 발명은 코로나바이러스 감염 동시 진단 마커 및 이의 용도에 관한 것이다. 본 발명에 따른 중증급성호흡기증후군 코로나바이러스 2(SARS-CoV-2) 검출용 조성물은 스파이크(spike) S1 도메인을 타겟으로 하여 현재 유행중인 COVID-19(SARS-CoV-2)의 신속하고 정확한 검증이 가능하다. 또한, 본 발명에 따른 중증급성호흡기증후군 (Severe acute respiratory syndrome; SARS) 바이러스 또는 이의 유사 바이러스 검출용 조성물은 스파이크(spike) S2 도메인을 타겟으로 하여, 소량의 시료에서도 한 번의 반응으로 중증급성호흡기증후군 (Severe acute respiratory syndrome; SARS) 바이러스 또는 이의 유사 바이러스의 범용적 검출이 가능하다. 또한, 상기한 조성물은 COVID-19(SARS-CoV-2), 중증급성호흡기증후군 (Severe acute respiratory syndrome; SARS) 바이러스 또는 이의 유사 바이러스를 신속하면서도 높은 특이도와 민감도로 파악할 수 있어, COVID-19(SARS-CoV-2), 중증급성호흡기증후군 (Severe acute respiratory syndrome; SARS) 바이러스 또는 이의 유사 바이러스에 관한 감염 진단은 물론, 보다 효율적인 방역 대처에 유용하게 사용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c936da869f18b573a060373209693aeab4e3f071bec6a6ed585a23dd8a3b2340ecc2b40d63bfc5b18122dc864b6b2c7a71a9f2d5d87d367f057,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cff50a10e941c21ff429c3a642a7975ca14b79be1d02706cde38af1ef94ae88c9e4d021d26312a6b9599b8624e1f712baa332e384cad913e47,한국생명공학연구원
130,공개,항코로나바이러스능을 가지는 콜린 유도체,A61K 31/7068|A61P 31/14|A01N 57/16|A23L 33/105|A23K 20/137,,,1020200071735,20200612,1020210154582,20211221,,,"본 발명은 콜린유도체 화합물의 항코로나바이러스 용도에 관한 것으로, 구체적으로, 본 발명은 콜린유도체 배당체 화합물의 조합을 유효성분으로 포함하는 코로나바이러스에 대한 항바이러스용 조성물; 코로나바이러스 감염질환의 예방 또는 치료용 약학적 조성물; 코로나바이러스 감염질환의 예방 또는 개선용 건강기능식품 조성물 및 사료조성물에 관한 것이다.  본 발명의 화학식 1로 표시되는 화합물을 유효성분으로 포함하는 조성물은 코로나바이러스에 대한 감염 억제 효과를 나타내므로, 상기 바이러스 질환의 예방 또는 치료를 위한 항바이러스제 개발에 이용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f808d89c5138ba603dcb3841284f0d39617455f68fa3923d60f2e69aecb79458edef6998e5daa64a38df76583148164ca3de00a3412e6403,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cffe9173a976b50ca8c9170af709950ab4c7141579f630f612e3755d86e74d749871baa71a27b71c456b3bfd917a2aafc1311fe70ee31bc185,권두한
131,공개,항코로나바이러스능을 가지는 콜린 유도체,A61K 31/7068|A61P 31/14|A23L 33/10|A23K 20/163,,,1020200071719,20200612,1020210154572,20211221,,,"본 발명은 콜린유도체 화합물의 항코로나바이러스 용도에 관한 것으로, 구체적으로, 본 발명은 콜린유도체 배당체 화합물의 조합을 유효성분으로 포함하는 코로나바이러스에 대한 항바이러스용 조성물; 코로나바이러스 감염질환의 예방 또는 치료용 약학적 조성물; 코로나바이러스 감염질환의 예방 또는 개선용 건강기능식품 조성물 및 사료조성물에 관한 것이다.  본 발명의 화학식 1로 표시되는 화합물을 유효성분으로 포함하는 조성물은 코로나바이러스에 대한 감염 억제 효과를 나타내므로, 상기 바이러스 질환의 예방 또는 치료를 위한 항바이러스제 개발에 이용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f808d89c5138ba603dcb3841284f0d39617455f68fa3923d60f2e69aecb79458b8f294109fd256e610a6abc43ad6304275c8e134d4751208,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cffe9173a976b50ca8c9170af709950ab4c7141579f630f612e3755d86e74d74986a8ac753c0a0e36859284d0353cfb52aa836060cd6654ecc,권두한
132,공개,코로나바이러스감염증-19(COVID-19) 치료용 조성물,A61K 31/53|A61P 31/14,,,1020200070835,20200611,1020210153908,20211220,,,본 발명은 SARS-Cov-2(Severe acute respiratory syndrome coronavirus 2)를 매우 특이적이고 높은 효율로 저해할 수 있는 화합물을 포함하는 치료용 조성물에 대한 것이다.,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b76017332228d77d053c165ddcb8afc1a2b117c129921a5d5407d8c71492498652754c568b4b03fb57e3a346d8d984c88091f6f182173b3d,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf440d72c4e804a80f696a2374cec9de605f8eb778bf58bd919da0f033288d8cbbd5efb2f6a152e40cea909b274b9370cf6b2456a649b84df5,제이더블유중외제약 주식회사
133,공개,쿠라리논을 포함하는 코로나바이러스 감염 예방 또는 치료용 조성물,A61K 31/353|A61P 31/14|A23L 33/10|A23K 20/121,,,1020200070523,20200610,1020210153453,20211217,,,"본 발명은 쿠라리논 또는 이의 약학적으로 허용 가능한 염을 유효성분으로 포함하는, 코로나바이러스에 대한 항바이러스 용도에 관한 것이다.  본 발명의 화합물 또는 이의 약학적 또는 식품학적으로 허용 가능한 염은 HCoV-OC43와 같은 코로나바이러스의 감염을 억제하는 효과를 나타내므로, 상기 바이러스 질환을 예방 또는 치료를 위한 항바이러스제 개발에 이용될 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9342aed7b67d998bf04c16c1afb918b14ba477e4a8df3edbd668005f21fe6c8caadfb0be983291ddce11d6787897a0d29be8b4a5b07cd97f81,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf56feac26cf7446ca7aa72c7142e7e2bbd94092393ee5e4d1ec12dbd118fa68db3d6166114fa4c12699bd0b0d0f34eb84ed09c6912709b806,한국 한의학 연구원
134,공개,코로나 방전 검출 장치 및 그 방법,G01R 31/12|G06K 9/62,,,1020200069510,20200609,1020210152702,20211216,,,"본 발명은 코로나 방전 검출 장치 및 그 방법이 개시된다. 본 발명의 코로나 방전 검출장치는, 검출장치를 작동시키는 작동 스위치; 전력설비를 가시광선 및 자외선을 통해 촬영하는 영상 측정부; 영상 측정부의 측정환경을 측정하는 환경 측정부; 작동 스위치의 작동에 따라 영상 측정부를 통해 촬영된 촬영영상과 환경 측정부를 통해 측정된 환경 측정값을 저장하고, 영상분석을 통해 촬영영상에 대해 프레임별로 가시광선 영상으로부터 전력설비를 식별하며, 프레임별로 자외선 영상을 누적하여 자외선 누적 이미지를 생성한 후 가시광선 영상과 합성하고, 환경 측정값을 매칭한 통합 데이터를 저장한 후 코로나 방전 상태를 분석하여 출력하는 제어부; 및 영상 측정부와 환경 측정부로부터 측정된 촬영영상 및 환경 측정값을 저장하고, 제어부에서 생성한 합성영상 및 통합 데이터를 저장하는 저장부;를 포함하는 것을 특징으로 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c935e799443367d79f37e128be5e021737effdd09d89db816f282e324150ed647b165efda8b9d7cd9744cb977da8c658092c997141e5bcd29f2,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1fc2056333f2c76f382be128dfe741d743286b1e70dab896d814e5e229de141d02f127a6553fbfeb79961f52c8fefbf20cdc97b1ef5911d8,한국전력공사
